family,file,source,sha256,duplicate_count
kalamehweb-fanum,kalamehweb-fanum\KalamehWeb(FaNum)-ExtraBold.woff2,_downloads\kalamehweb-fanum\KalamehWeb(FaNum)-ExtraBold.woff2,00020b22d7f8a68a48b1d1f91d236536a562ad466b38663ac3305f3bc1c089db,2
fonts,fonts\DimaSangin.eot,+Unsorted\VIP FONT-@Apkclub\Categuries\Dima\DimaSangin\fonts\DimaSangin.eot,00060eb4be180bd55f5b2ecf821e7791e9c7be2fa8d0805f92173f9584a4ddb5,0
Reckless Wide XL-TRIAL,Reckless Wide XL-TRIAL\RecklessWideXL-TRIAL-SemiBoldItalic.otf,_downloads\reckless-font-family\RecklessWideXL-TRIAL-SemiBoldItalic.otf,000f05efa8bf6e11f3c0d5d87793105443e8d260e16ddfd57ec5e00cadcf32a0,0
Reckless Condensed S-TRIAL,Reckless Condensed S-TRIAL\RecklessCondensedS-TRIAL-ThinItalic.otf,_downloads\reckless-font-family\RecklessCondensedS-TRIAL-ThinItalic.otf,00225dedb4055de3ac4ffa55c358fb29e72b32b9d5bad9730829ab901a52454a,0
Binama,Binama\بی نما رونگر.otf,+Unsorted\VIP FONT-@Apkclub\VIP FONT\VIP FONT\برای دیدن ادامه فونت ها کلیک کنید\ما بقی فونت ها\بی نما رونگر.otf,0029c58be817b98e530d523f4fdb557db9c6d148706b563291b348583228b636,1
Esportica,Esportica\Esportica-Italic.otf,+Mixed Fonts\esportica ltalic\Esportica-Italic.otf,0031119a3e0433a8084406416b5531249c6325f548ee0a078f381b07b78ad026,0
Fonts-master,Fonts-master\semibold.woff2,_downloads\Fonts-master\semibold.woff2,0033a1a81b6f7137e4dd7f678c5b8d5b3d84d13e0163b27944477c695df5bc2b,0
Aria[NoEng],Aria[NoEng]\AriaNoEng-ExtraLight.otf,_downloads\aria-noeng\AriaNoEng-ExtraLight.otf,003929c1cf73859bab4e69c76def08e855e4a853f278ce974fc3724e54bdbb87,1
Webfont,Webfont\Potk Font.woff,NEW\Potk-@Mim_Font\Webfont\Potk Font.woff,005c2609dc0631afd6f9105fdcf471ea8f3148efcc1c12d2a54cbd4e2f8306f2,1
MRT_Fares Light,MRT_Fares Light\Fares Light_MRT.ttf,384.Font.Farsi\Fares Light_MRT.ttf,005c522f61114a5ca3a48fff7cbabc4985d6b2b304186c07fcc6a774c0a1cf37,0
MRT_Tail Mediom,MRT_Tail Mediom\Tail Mediom_MRT.ttf,384.Font.Farsi\Tail Mediom_MRT.ttf,005f7d290b9673e180ab208fb6f4259a96076a7d1fa2d75ff807b5678fed1e3f,0
?,_\Tajrid-UltraLight.ttf,_downloads\tajrid\Tajrid-UltraLight.ttf,007041469889368925049875848565da84cae639363e97050fa27e5263d5bbcf,1
Chosence Light,Chosence Light\Chosence Light.otf,+Mixed Fonts\Chosence\Chosence Light.otf,00787c0173964245fe789b17342e6938aeda21362aad3a03a548acce960760bc,0
IRANSemiBold,IRANSemiBold\IRAN_SemiBold.ttf,+Unsorted\IRAN_Family\IRAN Family Typeface\webfonts\fonts\ttf\IRAN_SemiBold.ttf,0084cfdc45ce3a942c2a476297a506cd97a8cce2b12df21b41352446cadc2acd,0
2  Koodak Outline,2  Koodak Outline\SKOODAKO.TTF,384.Font.Farsi\SKOODAKO.TTF,0084f640865432e1b4b6d68c2883f4c41f8306d6ecf9353e2e3f5ceb1050e712,0
MRT_AUres,MRT_AUres\AUres_MRT.ttf,384.Font.Farsi\AUres_MRT.ttf,008ee2c8af462bec712de37e92cd7b3519dd10bde6e24c1275ec11455d34de1b,0
AzarMehr,AzarMehr\400-AzarMehr-Regular.ttf,_downloads\azarmehr\400-AzarMehr-Regular.ttf,008f281491fb4a551d2d84aeacd1ad48c12c0ed78fb0d7b28421297baf487118,5
ariaweb-noeng,ariaweb-noeng\AriaWebNoEng-SemiBold.woff,_downloads\ariaweb-noeng\AriaWebNoEng-SemiBold.woff,009a17074441c248de66c7851344cb7cb780f7b881ec88b4508b17e917215a6b,1
Onvan-FD,Onvan-FD\Onvan-FD.ttf,_downloads\onvan-fd\Onvan-FD.ttf,00a3c9da8f60ce5e92146e586191c47008b1098c72a5c3eccb668fe54c30f887,2
fonts,fonts\IRANSans_Bold.woff,+Unsorted\VIP FONT-@Apkclub\Categuries\FontIran.com\IRANSans_Bold\fonts\IRANSans_Bold.woff,00a60ecacfac73c34b97465e1bfcf72f34779632891adb490abf64582c553fbf,0
woff,woff\IRANSansXNoEn-Heavy.woff,_downloads\IranSansX Pro\IranSansX Pro\NonEnglish\Webfont NonEn\woff\IRANSansXNoEn-Heavy.woff,00d6857a86614e999a58430337ec319bc3b553713353144897dfd8303b2d3000,0
DAMOON,DAMOON\DAMOON-Medium.otf,_downloads\damoon\DAMOON-Medium.otf,00e04d55209da821c51d0349fdeb99e69c8ed2f292c99f9b4323992e14e04187,1
IRANSansX,IRANSansX\IRANSansX-Bold.otf,_downloads\IranSansX Pro\IranSansX Pro\iransansX family\Otf fonts\IRANSansX-Bold.otf,00e63885b2bc233f375d9551766f8e63d642711e4c293a5a46d5a50b5f9bfe24,0
farhang,farhang\Farhang-Black.woff2,_downloads\farhang\Farhang-Black.woff2,00ee367dadf2d7c7e7be87c59049e8e64cb72b0140081df756b44f96d1a25ca8,4
Efesto Regular Italic,Efesto Regular Italic\EfestoRegularItalic-Italic otf.otf,_downloads\Fonts-master\EfestoRegularItalic-Italic otf.otf,00eea505ebda2919e98b06ce32982d927c5d54623cbe2fbb889611991cbcb1cb,1
Mj_Dalal,Mj_Dalal\Mj_Dalal.ttf,500.Font.Collection\Mj_Dalal.ttf,00f5dfd104e48ac88e99acf3e125c3517da9f9fe77caf7f26ad2f77e4704b2e1,0
pelak-noeng,pelak-noeng\PelakNoEng-SemiBold.woff2,_downloads\pelak-noeng\PelakNoEng-SemiBold.woff2,00fe0e0680d1556067581e5457e58b4dfb5af645d46d6d6ddb5f55112490b34d,1
Dana,Dana\Dana-Regular.ttf,Fonts\Dana\Source v2.0\Dana font family\Dana-Regular.ttf,00fe421280cf577b554ebf040dfd43a89ad7377a4f4e3c548580b15dae58a1c6,1
Aria[NoEng],Aria[NoEng]\AriaNoEng-Normal.ttf,_downloads\aria-noeng\AriaNoEng-Normal.ttf,010c6559db61eb337a3aebd20d1fae4de149f4701c894cb43aac3b972ed212d0,1
eot,eot\Noora Fa-En 01 ExtraLight.eot,Fonts\Noora\Noora Standard (Fa-En)\web font\eot\Noora Fa-En 01 ExtraLight.eot,011891379d2a8af62468bde538016def47a13bcee1bdaca9bdbb7e4c45f64050,0
Farhang,Farhang\Farhang-DemiBold.ttf,Fonts\FarhangPro\Source 4 v1.4\Farhang\Farhang-DemiBold.ttf,0119305938490e1fcca4a30ffeb8653e9f4a9e9625f43c50bf53df04e879a61a,0
Bidad,Bidad\Bidad-Bold.ttf,_downloads\bidad\Bidad-Bold.ttf,0141392b92f2c90ae88dff292b0845392a3d338b77cf6a24a85965615fb2560c,2
eot,eot\IRANSansWeb(NoEn)_UltraLight.eot,+Unsorted\IranSansX(Pro)\IranSansX(Pro)\Old version\IRANSans5.5 (No support)\Non_English\WebFonts\fonts\eot\IRANSansWeb(NoEn)_UltraLight.eot,014b3b3f12c2025861f5d8f9f638db84cbcc1a49191743e141df14794a9dd2e9,2
pinar-ds4-fd,pinar-ds4-fd\Pinar-DS4-FD-ExtraBold.woff2,_downloads\pinar-ds4-fd\Pinar-DS4-FD-ExtraBold.woff2,014f360caff05cccb23ac0bb59efbe567929f882238a6ba4a77c0d2ee1c1663a,2
fonts,fonts\Ray-Bold.eot,+Unsorted\VIP FONT-@Apkclub\Categuries\MaryamSoft.com\Ray-Bold\fonts\Ray-Bold.eot,014f8e1ced69e86b12426cc4f892709ae8f286aa6d11954a4147b57e8464eaa3,0
Pinar-DS4-FD,Pinar-DS4-FD\Pinar-DS4-FD-Light.ttf,_downloads\pinar-ds4-fd\Pinar-DS4-FD-Light.ttf,0151963e137c65a0f10746c545da76220fa90285cff6c28128113ef04f970ea7,2
