script,family,variant,format,file,source,sha256
03-Mixed,#197_Arkan_DG Ghareeb Regular,02-Static,01-TrueType,03-Mixed\#197_Arkan_DG Ghareeb Regular\02-Static\01-TrueType\غریب.ttf,Organized\#197_Arkan_DG Ghareeb Regular\غریب.ttf,8c69a1b0c6664668e2c1400532f0a8fe3363a3a7fb4100bf95a2526a027490c5
03-Mixed,#198_Arkan_DG Ghareeb Bold,02-Static,01-TrueType,03-Mixed\#198_Arkan_DG Ghareeb Bold\02-Static\01-TrueType\غریب بولد.ttf,Organized\#198_Arkan_DG Ghareeb Bold\غریب بولد.ttf,90bfbda157d328c16df3b3ad7008a124a2d516754fd63823d04680d3df761013
03-Mixed,#268_Arkan_DG 3asomy,02-Static,01-TrueType,03-Mixed\#268_Arkan_DG 3asomy\02-Static\01-TrueType\عصومی.ttf,Organized\#268_Arkan_DG 3asomy\عصومی.ttf,ea839eb74d6b024b52880d033a9d949633073ab1dd2092a87f8de35753af9ccc
01-Persian-Arabic,#42_Arkan_Momken,02-Static,01-TrueType,01-Persian-Arabic\#42_Arkan_Momken\02-Static\01-TrueType\Momken.ttf,Organized\#42_Arkan_Momken\Momken.ttf,60fe65ce7823b73031bd87d0ee87e0b572d1de7502b45c51639a1c38bfb1e5f3
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-Black.woff,Organized\01- Woff\Anjoman-Black.woff,127d41b937fa3c6a3ff16df4c6d8068407068a8d8ae7a5ffd234a3ccb0cd7b81
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-BlackItalic.woff,Organized\01- Woff\Anjoman-BlackItalic.woff,42edec21ca2e424259ddba64f6c611954bb096d61ef1aaa0922e8a6957d6b29f
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-Bold.woff,Organized\01- Woff\Anjoman-Bold.woff,a6e8c0ef9c5f3592026be0b07ff165b4119b8159a6cb6399a0437e2c6ccbdedb
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-Condensed.woff,Organized\01- Woff\Anjoman-Condensed.woff,c619e43101c9aaccad8337e32979ddb6dcf3a518112c8f97799ddfbe7dc789e2
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-CondensedBlack.woff,Organized\01- Woff\Anjoman-CondensedBlack.woff,1ba60d4e3bdfe880055b3129f3c29415e4a570b82a0e6bc8953564b1ca26ae7b
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-CondensedBlackItalic.woff,Organized\01- Woff\Anjoman-CondensedBlackItalic.woff,41afabf96c18e9143e8ea729ef6d351134e72add33d6efa27a967b2fb4073eec
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-CondensedBoldItalic.woff,Organized\01- Woff\Anjoman-CondensedBoldItalic.woff,03172713d2d82d6758fefc1d66b64e9ad6ea33614d93ba4c94f21dd4ebef2c70
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-CondensedExtraLight.woff,Organized\01- Woff\Anjoman-CondensedExtraLight.woff,cd84f398fe55324446c45e6aedba3378b52fb156fda266465ef054bdf51dee1a
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-CondensedHeavy.woff,Organized\01- Woff\Anjoman-CondensedHeavy.woff,3dfd52c435270b3a80b2e014014b81ab958504f8f8c6ff31da7ba70ee5b5b609
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-CondensedHeavyItalic.woff,Organized\01- Woff\Anjoman-CondensedHeavyItalic.woff,952c7a13999bb810fde08a3c7fa67916e2170dac56d6167dd2ace86b0d9f1b98
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-CondensedLight.woff,Organized\01- Woff\Anjoman-CondensedLight.woff,fb7f7d768254dbff25da3a3ea2c353ebb2a6e1bd2557aa872695b18051cf105f
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-CondensedLightItalic.woff,Organized\01- Woff\Anjoman-CondensedLightItalic.woff,d82e47ecb0c2dfb6ec56a433e75bb22c4b74de68986404ef520a1f43155358ec
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-CondensedMedium.woff,Organized\01- Woff\Anjoman-CondensedMedium.woff,85129da5f4bd07543e44a5d3eb56341a5801b53242c3b9a07bccf5450ff0d419
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-CondensedMediumItalic.woff,Organized\01- Woff\Anjoman-CondensedMediumItalic.woff,60049684cc430ad39baa387e1f565f472e34aef6d9d1e822c447ea0289300352
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-CondensedSemiBold.woff,Organized\01- Woff\Anjoman-CondensedSemiBold.woff,be278c7879931576c423e244e758c46322b6c7fc00a74be7e172b6a30a36027f
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-CondensedSemiBoldItalic.woff,Organized\01- Woff\Anjoman-CondensedSemiBoldItalic.woff,cd52726f5c68a304cb5d0650b0326ed770b250431e5f2096fa1b645369f0bef9
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-CondensedSuperHeavy.woff,Organized\01- Woff\Anjoman-CondensedSuperHeavy.woff,3196d75dd1c24357eb196cfba6eac98d665e79123edf139f8f06ece0ae0b8659
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-CondensedSuperHeavyItalic.woff,Organized\01- Woff\Anjoman-CondensedSuperHeavyItalic.woff,034e5d4a27e5062762338a5f68a92a2544655331457f404a884e117a75be8bed
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-CondensedUltraBold.woff,Organized\01- Woff\Anjoman-CondensedUltraBold.woff,36592e6b946e31002c123ef94319a4451ae9b46f665fb3554537b5d49b713afe
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-CondensedUltraBoldItalic.woff,Organized\01- Woff\Anjoman-CondensedUltraBoldItalic.woff,a1f1ca3392e1b545791f98466f2a5f619e7281065e831cf2e2b9ab6ca4272afc
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-ExtraBold.woff,Organized\01- Woff\Anjoman-ExtraBold.woff,fd6c7da426d8e9424d99b991ffbd46a8fd736b3edda8c49697ef64844806fa36
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-ExtraBoldItalic.woff,Organized\01- Woff\Anjoman-ExtraBoldItalic.woff,2d8f8980ec0127861c79f19e1a484f3e42d62ee1aa7725ae0fdd31e88ee7c2b3
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-ExtraLightItalic.woff,Organized\01- Woff\Anjoman-ExtraLightItalic.woff,cf9ac6193e4a956259fbc38b8270877ed0b095f76022f5939dec95faf3630588
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-Black.woff,Organized\01- Woff\Anjoman-FaNum-Black.woff,6ab06cb79c54b4f077b1e340ded63169aac9bfcca6c68d3d0613a299b69c8b3c
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-BlackItalic.woff,Organized\01- Woff\Anjoman-FaNum-BlackItalic.woff,cd34cc16f8a6977b1aee08c316a88672bc6f84600e8bb8ecec1b8a7f716ed248
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-Bold.woff,Organized\01- Woff\Anjoman-FaNum-Bold.woff,ef2529200e27e425f734312df182005172cea7e95d0fcce80042828ba81bd5c4
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-Condensed.woff,Organized\01- Woff\Anjoman-FaNum-Condensed.woff,ef9991a772464fefbed69bba58a535c23564f45c33785c9bc5074f5155a9715c
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-CondensedBlack.woff,Organized\01- Woff\Anjoman-FaNum-CondensedBlack.woff,ebc1e4dc858b2c708943f42ff38194f5b6095833fdbca698d1cf88d5f5265ea9
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-CondensedBlackItalic.woff,Organized\01- Woff\Anjoman-FaNum-CondensedBlackItalic.woff,0b45c2467799a73e3c4724963702b37675043db664bae44c021bb7bb8e378d6b
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-CondensedBoldItalic.woff,Organized\01- Woff\Anjoman-FaNum-CondensedBoldItalic.woff,2898702ddcc5921c6cd4f7460bfc989ec26baa6328a24427a08831c51dc37e38
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-CondensedExtraLight.woff,Organized\01- Woff\Anjoman-FaNum-CondensedExtraLight.woff,304801d29cda3cd7653b4d4042189fa3999d33bab470c7cb41012392c32a1a2f
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-CondensedHeavy.woff,Organized\01- Woff\Anjoman-FaNum-CondensedHeavy.woff,e2c337bc8d545c73436b291580537d8d258519e9e1cbf66796490f57b9af6bf3
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-CondensedHeavyItalic.woff,Organized\01- Woff\Anjoman-FaNum-CondensedHeavyItalic.woff,73869cd9dfca0a206bd66b21eb8333f7a644b1823100cd1e4c4a072b3a3dba1c
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-CondensedLight.woff,Organized\01- Woff\Anjoman-FaNum-CondensedLight.woff,806a5a435ea02a631196296cb2c7171fc2f3ab1042ab5b87e234fc9b74e03941
03-Mixed,Anjoman-FaNum,02-Static,03-WOFF,03-Mixed\Anjoman-FaNum\02-Static\03-WOFF\Anjoman-FaNum-CondensedLightItalic.woff,Organized\01- Woff\Anjoman-FaNum-CondensedLightItalic.woff,301cc2d461d4adc25aa211100e45e96d6f506ebe0b1059f7d80ac3b019afe898
