script,style,weight,family,subfamily,variant,format,file,source,source_folders,duplicate_count,sha256
03-Mixed,06-General,06-Bold,KalamehWeb(FaNum),ExtraBold,02-Static,04-WOFF2,03-Mixed\06-General\06-Bold\KalamehWeb(FaNum)\02-Static\04-WOFF2\KalamehWeb(FaNum)-ExtraBold.woff2,Iranfont\Kalameh 4\Kalameh 4\02- Farsi_Numerals\WebFonts\_Woff2\KalamehWeb(FaNum)-ExtraBold.woff2,Fonts | Iranfont,2,00020b22d7f8a68a48b1d1f91d236536a562ad466b38663ac3305f3bc1c089db
04-Latin,06-General,02-Light,Absara TF Light SC,Regular,02-Static,02-OpenType,04-Latin\06-General\02-Light\Absara TF Light SC\02-Static\02-OpenType\AbsaraTF-LightSC.otf,English\AbsaraTF-LightSC.otf,English,0,00023217583c0aef29b74b03d58482442d71ac6248d5948b9a65d296015664c1
04-Latin,06-General,09-Other,DimaSangin,DimaSangin,02-Static,05-EOT,04-Latin\06-General\09-Other\DimaSangin\02-Static\05-EOT\DimaSangin.eot,+Unsorted\VIP FONT-@Apkclub\Categuries\Dima\DimaSangin\fonts\DimaSangin.eot,+Unsorted,0,00060eb4be180bd55f5b2ecf821e7791e9c7be2fa8d0805f92173f9584a4ddb5
04-Latin,06-General,03-Regular,Absara TF Bold SC,Regular,02-Static,02-OpenType,04-Latin\06-General\03-Regular\Absara TF Bold SC\02-Static\02-OpenType\AbsaraTF-BoldSC.otf,English\AbsaraTF-BoldSC.otf,English,0,00104f5ac1b7232264d3a5c4a7f28aacd105999795e6426e51c194f967c3c6f3
03-Mixed,06-General,03-Regular,Binama,Regular,02-Static,02-OpenType,03-Mixed\06-General\03-Regular\Binama\02-Static\02-OpenType\بی نما رونگر.otf,+Unsorted\VIP FONT-@Apkclub\VIP FONT\VIP FONT\برای دیدن ادامه فونت ها کلیک کنید\ما بقی فونت ها\بی نما رونگر.otf,+Unsorted,1,0029c58be817b98e530d523f4fdb557db9c6d148706b563291b348583228b636
04-Latin,06-General,03-Regular,Esportica,Regular,02-Static,02-OpenType,04-Latin\06-General\03-Regular\Esportica\02-Static\02-OpenType\Esportica-Italic.otf,+Mixed Fonts\esportica ltalic\Esportica-Italic.otf,+Mixed Fonts,0,0031119a3e0433a8084406416b5531249c6325f548ee0a078f381b07b78ad026
03-Mixed,06-General,02-Light,Aria[NoEng],ExtraLight,02-Static,02-OpenType,03-Mixed\06-General\02-Light\Aria[NoEng]\02-Static\02-OpenType\AriaNoEng-ExtraLight.otf,Fonts\Aria\Source 2\None English\otf\AriaNoEng-ExtraLight.otf,Fonts | Iranfont,1,003929c1cf73859bab4e69c76def08e855e4a853f278ce974fc3724e54bdbb87
03-Mixed,06-General,08-Black,Dana,Black,02-Static,04-WOFF2,03-Mixed\06-General\08-Black\Dana\02-Static\04-WOFF2\Dana-Black.woff2,Iranfont\Dana\Dana\Webfonts\woff2\Dana-Black.woff2,Iranfont,0,003d20a1ca66a0d27cfc611097d1fe04c5e6ac60ca55dd9c7a4985c392d61040
03-Mixed,06-General,06-Bold,Dana,Bold,02-Static,03-WOFF,03-Mixed\06-General\06-Bold\Dana\02-Static\03-WOFF\Dana-Bold.woff,Iranfont\Dana\Dana\Variable\webfont\staticfonts\Dana-Bold.woff,Iranfont,0,0043eb0ff30bfd9086f8d508ec325eb102b1041a8bce414f8c1603696d19d1bc
04-Latin,06-General,03-Regular-Italic,MaxLF-BoldItalic,Regular,02-Static,02-OpenType,04-Latin\06-General\03-Regular-Italic\MaxLF-BoldItalic\02-Static\02-OpenType\MaxLF-BoldItalic.otf,English\MaxLF-BoldItalic.otf,English,0,00589682f08a17a8ca3110c3b0240364beda6db307b36bb0aee9155efd13aeec
03-Mixed,06-General,09-Other,Kahroba-FD,B,02-Static,01-TrueType,03-Mixed\06-General\09-Other\Kahroba-FD\02-Static\01-TrueType\Kahroba-FD-B.ttf,Iranfont\Kahroba-Pro\180-Kahroba-v1.0-Pro\180-Kahroba-v1.0-Pro\Statics\ttf(desktop)\FD(FarsiDigits)\Kahroba-FD-B.ttf,Iranfont,0,005ba3e92621a4c1ff0c1f223c2f37d1f1bfe9e0b4a5acfbb12db0ce7352e511
03-Mixed,06-General,08-Black,Potk,Black,02-Static,03-WOFF,03-Mixed\06-General\08-Black\Potk\02-Static\03-WOFF\Potk Font.woff,NEW\Potk-@Mim_Font\Webfont\Potk Font.woff,Fonts | NEW,1,005c2609dc0631afd6f9105fdcf471ea8f3148efcc1c12d2a54cbd4e2f8306f2
03-Mixed,06-General,02-Light,MRT_Fares Light,Regular,02-Static,01-TrueType,03-Mixed\06-General\02-Light\MRT_Fares Light\02-Static\01-TrueType\Fares Light_MRT.ttf,Farsi\Fares Light_MRT.ttf,384.Font.Farsi | Farsi,1,005c522f61114a5ca3a48fff7cbabc4985d6b2b304186c07fcc6a774c0a1cf37
03-Mixed,06-General,03-Regular,MRT_Tail Mediom,Regular,02-Static,01-TrueType,03-Mixed\06-General\03-Regular\MRT_Tail Mediom\02-Static\01-TrueType\Tail Mediom_MRT.ttf,Farsi\Tail Mediom_MRT.ttf,384.Font.Farsi | Farsi,1,005f7d290b9673e180ab208fb6f4259a96076a7d1fa2d75ff807b5678fed1e3f
03-Mixed,06-General,04-Medium,IRANYekanX,Medium,02-Static,01-TrueType,03-Mixed\06-General\04-Medium\IRANYekanX\02-Static\01-TrueType\IRANYekanX-Medium.ttf,Iranfont\IRANYekanX Pro\IRANYekanX Pro\IRANYekanX family\IRANYekanX-Medium.ttf,Iranfont,0,0066e48b127b984e5c9e2afd3b582cf917cac2e878c621a5357e3c8b0919a0a0
03-Mixed,06-General,01-Thin,Tajrid,UltraLight,02-Static,01-TrueType,03-Mixed\06-General\01-Thin\Tajrid\02-Static\01-TrueType\Tajrid-UltraLight.ttf,Fonts\Tajrid\TTF\Tajrid-UltraLight.ttf,Fonts | Iranfont,1,007041469889368925049875848565da84cae639363e97050fa27e5263d5bbcf
04-Latin,06-General,02-Light,Chosence Light,Regular,02-Static,02-OpenType,04-Latin\06-General\02-Light\Chosence Light\02-Static\02-OpenType\Chosence Light.otf,+Mixed Fonts\Chosence\Chosence Light.otf,+Mixed Fonts,0,00787c0173964245fe789b17342e6938aeda21362aad3a03a548acce960760bc
03-Mixed,06-General,03-Regular,IRANSemiBold,Regular,02-Static,01-TrueType,03-Mixed\06-General\03-Regular\IRANSemiBold\02-Static\01-TrueType\IRAN_SemiBold.ttf,+Unsorted\IRAN_Family\IRAN Family Typeface\webfonts\fonts\ttf\IRAN_SemiBold.ttf,+Unsorted,0,0084cfdc45ce3a942c2a476297a506cd97a8cce2b12df21b41352446cadc2acd
01-Persian-Arabic,06-General,09-Other,SKOODAKO,SKOODAKO,02-Static,01-TrueType,01-Persian-Arabic\06-General\09-Other\SKOODAKO\02-Static\01-TrueType\SKOODAKO.TTF,384.Font.Farsi\SKOODAKO.TTF,384.Font.Farsi,0,0084f640865432e1b4b6d68c2883f4c41f8306d6ecf9353e2e3f5ceb1050e712
03-Mixed,06-General,06-Bold,MRT_AUres,Bold,02-Static,01-TrueType,03-Mixed\06-General\06-Bold\MRT_AUres\02-Static\01-TrueType\AUres_MRT.ttf,Farsi\AUres_MRT.ttf,384.Font.Farsi | Farsi,1,008ee2c8af462bec712de37e92cd7b3519dd10bde6e24c1275ec11455d34de1b
03-Mixed,06-General,03-Regular,AzarMehr,Regular,02-Static,01-TrueType,03-Mixed\06-General\03-Regular\AzarMehr\02-Static\01-TrueType\AzarMehr-Regular.ttf,Iranfont\AzarMehr\webfont test\fonts\ttf\AzarMehr-Regular.ttf,+Unsorted | Fonts | Iranfont | NEW,6,008f281491fb4a551d2d84aeacd1ad48c12c0ed78fb0d7b28421297baf487118
03-Mixed,06-General,02-Light,Yekan Bakh FaNum,Light SemiCondensed,02-Static,03-WOFF,03-Mixed\06-General\02-Light\Yekan Bakh FaNum\02-Static\03-WOFF\YekanBakhFaNum-LightSemiCondensed.woff,Iranfont\YekanBakh 3 ProPlus __fontiranir_\YekanBakh 3 ProPlus [@fontiranir]\Yekan Bakh FaNum\webfonts\woff\YekanBakhFaNum-LightSemiCondensed.woff,Iranfont,0,009066578699a3e622eac8d2aa1274ccf484b5c288ea5e176fb538b07fa3c100
03-Mixed,06-General,05-SemiBold,AriaWeb[NoEng],SemiBold,02-Static,03-WOFF,03-Mixed\06-General\05-SemiBold\AriaWeb[NoEng]\02-Static\03-WOFF\AriaWebNoEng-SemiBold.woff,Fonts\Aria\Source 2\None English\Webfont[NoEng]\woff\AriaWebNoEng-SemiBold.woff,Fonts | Iranfont,1,009a17074441c248de66c7851344cb7cb780f7b881ec88b4508b17e917215a6b
04-Latin,04-Monospace,06-Bold-Italic,Codec Warm,Bold Italic,02-Static,01-TrueType,04-Latin\04-Monospace\06-Bold-Italic\Codec Warm\02-Static\01-TrueType\CodecWarm-BoldItalic.ttf,English\CodecWarm-BoldItalic.ttf,English,0,00a1aeb4b96c87baeba68a3702173c110d49497ef0f1be34f008a1c08a3c0a2e
03-Mixed,06-General,03-Regular,DarabFaNum,Regular-medium,02-Static,01-TrueType,03-Mixed\06-General\03-Regular\DarabFaNum\02-Static\01-TrueType\DarabFaNum-Regular-medium.ttf,Iranfont\darab pro\Farsi numerals\DarabFaNum-Regular-medium.ttf,Iranfont,0,00a20db8c5da7d39cd7bfe1dc41e0e52feb9fc0247af3f5fc7f7d1a01512869e
03-Mixed,06-General,09-Other,Kahroba-EHC,T-EHC-EX,02-Static,04-WOFF2,03-Mixed\06-General\09-Other\Kahroba-EHC\02-Static\04-WOFF2\Kahroba T-EHC-EX.woff2,Iranfont\Kahroba-Pro\180-Kahroba-v1.0-Pro\180-Kahroba-v1.0-Pro\Statics\woff2(web)\Kahroba T-EHC-EX.woff2,Iranfont,0,00a2c490e90f33ab1138ef2d0279b5ff67843740e9b71eb6c92679ca42e58865
03-Mixed,06-General,09-Other,Onvan-FD,FD,02-Static,01-TrueType,03-Mixed\06-General\09-Other\Onvan-FD\02-Static\01-TrueType\Onvan-FD.ttf,Iranfont\Onvan\Onvan for Desktop and publishing\FD (Farsi digits)\Onvan-FD.ttf,+Unsorted | Fonts | Iranfont,2,00a3c9da8f60ce5e92146e586191c47008b1098c72a5c3eccb668fe54c30f887
03-Mixed,01-Sans-Modern,06-Bold,IRANSans,Bold,02-Static,03-WOFF,03-Mixed\01-Sans-Modern\06-Bold\IRANSans\02-Static\03-WOFF\IRANSans_Bold.woff,+Unsorted\VIP FONT-@Apkclub\Categuries\FontIran.com\IRANSans_Bold\fonts\IRANSans_Bold.woff,+Unsorted,0,00a60ecacfac73c34b97465e1bfcf72f34779632891adb490abf64582c553fbf
03-Mixed,06-General,03-Regular,Alibaba,Regular,02-Static,02-OpenType,03-Mixed\06-General\03-Regular\Alibaba\02-Static\02-OpenType\Alibaba-Regular.otf,Iranfont\Alibaba\otf\Alibaba-Regular.otf,Iranfont,0,00a9296d5cb4ee78cb4814c9b46c3b4506fa82385bf1207f3bcd0d2a3c432355
03-Mixed,06-General,01-Thin,Yekan Bakh FaNum,Thin Expanded,02-Static,01-TrueType,03-Mixed\06-General\01-Thin\Yekan Bakh FaNum\02-Static\01-TrueType\YekanBakhFaNum-ThinExpanded.ttf,Iranfont\YekanBakh 3 ProPlus __fontiranir_\YekanBakh 3 ProPlus [@fontiranir]\Yekan Bakh FaNum\ttf\YekanBakhFaNum-ThinExpanded.ttf,Iranfont,0,00b5f65132831c61e6c785aaa328fe065056ba29582fabccfdcb5a8df05f9c46
03-Mixed,06-General,03-Regular,Sultan Normal,Regular,02-Static,01-TrueType,03-Mixed\06-General\03-Regular\Sultan Normal\02-Static\01-TrueType\Mj_Baseet.TTF,Farsi\Mj_Baseet.TTF,Farsi,0,00baf85825a48ff3eb1c74ad3414bf90f5973ef4e3b42d13aeb937f531bf106f
03-Mixed,06-General,04-Medium,Farhang,MediumSharp,02-Static,03-WOFF,03-Mixed\06-General\04-Medium\Farhang\02-Static\03-WOFF\Farhang-MediumSharp.woff,Iranfont\Farhang-2-Pro\Farhang-2-Pro\Old Version (not supported)\Farhang Sharp\Webfonts\fonts\woff\Farhang-MediumSharp.woff,Iranfont,0,00c72b9ea158e707ce5b4d86d635ac90250a5f31256e90e59ba9552e6dd3fb11
03-Mixed,06-General,09-Other,Kahroba-EHC,UL-EHC-SC,02-Static,04-WOFF2,03-Mixed\06-General\09-Other\Kahroba-EHC\02-Static\04-WOFF2\Kahroba UL-EHC-SC.woff2,Iranfont\Kahroba-Pro\180-Kahroba-v1.0-Pro\180-Kahroba-v1.0-Pro\Statics\woff2(web)\Kahroba UL-EHC-SC.woff2,Iranfont,0,00ca2fad6821a4284cb962ec5b66fe6607f6573fd62bebadb3a6b6315b504b29
03-Mixed,06-General,06-Bold,Mj_Fares Bold,Bold,02-Static,01-TrueType,03-Mixed\06-General\06-Bold\Mj_Fares Bold\02-Static\01-TrueType\Mj_Fares Bold.TTF,Farsi\Mj_Fares Bold.TTF,Farsi,0,00cdd30d43bdaee1c9c554baec54ecbfdaf82f36aff637ad5adaa52a0d4e7483
01-Persian-Arabic,01-Sans-Modern,08-Black,IRANSansXNoEn,Heavy,02-Static,03-WOFF,01-Persian-Arabic\01-Sans-Modern\08-Black\IRANSansXNoEn\02-Static\03-WOFF\IRANSansXNoEn-Heavy.woff,Iranfont\IranSansX Pro\IranSansX Pro\NonEnglish\Webfont NonEn\woff\IRANSansXNoEn-Heavy.woff,Iranfont,0,00d6857a86614e999a58430337ec319bc3b553713353144897dfd8303b2d3000
01-Persian-Arabic,06-General,03-Regular,Tabassom,Regular,02-Static,01-TrueType,01-Persian-Arabic\06-General\03-Regular\Tabassom\02-Static\01-TrueType\TABASSOM.TTF,Farsi\TABASSOM.TTF,Farsi,0,00d8af32e85db64f641593293c6fad5173e81fc9c7c7966649bcc98a1618a7f7
03-Mixed,06-General,04-Medium,DAMOON,Medium,02-Static,02-OpenType,03-Mixed\06-General\04-Medium\DAMOON\02-Static\02-OpenType\DAMOON-Medium.otf,Fonts\Damoon Pro\Damoon Pro\01 Font familiy\otf\DAMOON-Medium.otf,Fonts | Iranfont,1,00e04d55209da821c51d0349fdeb99e69c8ed2f292c99f9b4323992e14e04187
03-Mixed,01-Sans-Modern,06-Bold,IRANSansX,Bold,02-Static,02-OpenType,03-Mixed\01-Sans-Modern\06-Bold\IRANSansX\02-Static\02-OpenType\IRANSansX-Bold.otf,Iranfont\IranSansX Pro\IranSansX Pro\iransansX family\Otf fonts\IRANSansX-Bold.otf,Iranfont,0,00e63885b2bc233f375d9551766f8e63d642711e4c293a5a46d5a50b5f9bfe24
03-Mixed,06-General,08-Black,Farhang,Black,02-Static,04-WOFF2,03-Mixed\06-General\08-Black\Farhang\02-Static\04-WOFF2\Farhang-Black.woff2,NEW\Farhang-@Mim_Font\Farhang\Webfonts\fonts\woff2\Farhang-Black.woff2,+Unsorted | Fonts | NEW,3,00ee367dadf2d7c7e7be87c59049e8e64cb72b0140081df756b44f96d1a25ca8
03-Mixed,06-General,08-Black,Abar Mid,Black,02-Static,01-TrueType,03-Mixed\06-General\08-Black\Abar Mid\02-Static\01-TrueType\AbarMid-Black.ttf,Iranfont\Abar Pro __FontiranIR_\Abar Pro [@FontiranIR]\Abar Family\ttf\AbarMid-Black.ttf,Iranfont,0,00f148e4b8608ab967e12d309227e53a57ffd865d10c57eedabb65319f8b1e51
01-Persian-Arabic,06-General,09-Other,Kahroba-OA,T-EX,02-Static,04-WOFF2,01-Persian-Arabic\06-General\09-Other\Kahroba-OA\02-Static\04-WOFF2\Kahroba-OA T-EX.woff2,Iranfont\Kahroba-Pro\180-Kahroba-v1.0-Pro\180-Kahroba-v1.0-Pro\Statics\woff2(web)\OA(OnlyArabic)\Kahroba-OA T-EX.woff2,Iranfont,0,00f5589179660140c78e6c111a5b5715958633da18fd6bb791cdc87191393f92
01-Persian-Arabic,06-General,03-Regular,Mj_Dalal,Regular,02-Static,01-TrueType,01-Persian-Arabic\06-General\03-Regular\Mj_Dalal\02-Static\01-TrueType\Mj_Dalal.ttf,Farsi\Mj_Dalal.ttf,500.Font.Collection | Farsi,1,00f5dfd104e48ac88e99acf3e125c3517da9f9fe77caf7f26ad2f77e4704b2e1
04-Latin,06-General,03-Regular,Jigger-AngledFront,Regular,02-Static,01-TrueType,04-Latin\06-General\03-Regular\Jigger-AngledFront\02-Static\01-TrueType\Jigger-AngledFront.ttf,English\Jigger-AngledFront.ttf,English,0,00fc8ffc67edf2c9970798a3bf0ffa9029d60651743f59f176f62e39b23e9ccf
03-Mixed,06-General,05-SemiBold,Pelak NoEng,SemiBold,02-Static,04-WOFF2,03-Mixed\06-General\05-SemiBold\Pelak NoEng\02-Static\04-WOFF2\PelakNoEng-SemiBold.woff2,Fonts\PELAK\Non English\WebFonts\WOFF2\PelakNoEng-SemiBold.woff2,Fonts | Iranfont,1,00fe0e0680d1556067581e5457e58b4dfb5af645d46d6d6ddb5f55112490b34d
03-Mixed,06-General,03-Regular,Dana,Regular,02-Static,01-TrueType,03-Mixed\06-General\03-Regular\Dana\02-Static\01-TrueType\Dana-Regular.ttf,Fonts\Dana\Source v2.0\Dana font family\Dana-Regular.ttf,Fonts | Iranfont,2,00fe421280cf577b554ebf040dfd43a89ad7377a4f4e3c548580b15dae58a1c6
03-Mixed,06-General,03-Regular,Shekari Font,Regular,02-Static,01-TrueType,03-Mixed\06-General\03-Regular\Shekari Font\02-Static\01-TrueType\Shekari Font.ttf,Farsi\Shekari Font.ttf,Farsi,0,00ff09d944a41d442f87a3d60559001411d72e26f8df9fd9f20562e2f8d13692
03-Mixed,06-General,03-Regular,Aria[NoEng],Normal,02-Static,01-TrueType,03-Mixed\06-General\03-Regular\Aria[NoEng]\02-Static\01-TrueType\AriaNoEng-Normal.ttf,Fonts\Aria\Source 2\None English\ttf\AriaNoEng-Normal.ttf,Fonts | Iranfont,1,010c6559db61eb337a3aebd20d1fae4de149f4701c894cb43aac3b972ed212d0
04-Latin,06-General,02-Light-Italic,Montserrat Alternates,ExtraLight Italic,02-Static,02-OpenType,04-Latin\06-General\02-Light-Italic\Montserrat Alternates\02-Static\02-OpenType\MontserratAlternates-ExtraLightItalic.otf,English\MontserratAlternates-ExtraLightItalic.otf,English,0,011261d027c074fb58d9c7a6f3f893afd5debc8587ead8d17bbcff2afec8ec1d
03-Mixed,06-General,02-Light,Noora,ExtraLight,02-Static,05-EOT,03-Mixed\06-General\02-Light\Noora\02-Static\05-EOT\Noora Fa-En 01 ExtraLight.eot,Fonts\Noora\Noora Standard (Fa-En)\web font\eot\Noora Fa-En 01 ExtraLight.eot,Fonts | Iranfont,1,011891379d2a8af62468bde538016def47a13bcee1bdaca9bdbb7e4c45f64050
03-Mixed,06-General,05-SemiBold,Farhang,DemiBold,02-Static,01-TrueType,03-Mixed\06-General\05-SemiBold\Farhang\02-Static\01-TrueType\Farhang-DemiBold.ttf,Fonts\FarhangPro\Source 4 v1.4\Farhang\Farhang-DemiBold.ttf,Fonts,0,0119305938490e1fcca4a30ffeb8653e9f4a9e9625f43c50bf53df04e879a61a
04-Latin,06-General,03-Regular,Marcelle Swashes,Regular,02-Static,01-TrueType,04-Latin\06-General\03-Regular\Marcelle Swashes\02-Static\01-TrueType\MARCS___.ttf,English\MARCS___.ttf,English,0,011df50020cc403a7e99efae30cae2291e7291c5181afe69606e368f379340f8
03-Mixed,06-General,09-Other,Kahroba-HC,L-HC-EX,02-Static,04-WOFF2,03-Mixed\06-General\09-Other\Kahroba-HC\02-Static\04-WOFF2\Kahroba L-HC-EX.woff2,Iranfont\Kahroba-Pro\180-Kahroba-v1.0-Pro\180-Kahroba-v1.0-Pro\Statics\woff2(web)\Kahroba L-HC-EX.woff2,Iranfont,0,012a9fe6d27e38270dde2acfc28f0e9f6b283621a1f308a3eb0211a8fe373609
01-Persian-Arabic,06-General,03-Regular,B Arabic Style,Regular,02-Static,01-TrueType,01-Persian-Arabic\06-General\03-Regular\B Arabic Style\02-Static\01-TrueType\BArabics.ttf,Farsi\BArabics.ttf,Farsi,0,012e38b00c1e01d751885a08eae1fb5820acc63bcb20ba94d2255d5f2096af30
03-Mixed,06-General,05-SemiBold,Yekan Bakh FaNum,SemiBold Condensed,02-Static,04-WOFF2,03-Mixed\06-General\05-SemiBold\Yekan Bakh FaNum\02-Static\04-WOFF2\YekanBakhFaNum-SemiBoldCondensed.woff2,Iranfont\YekanBakh 3 ProPlus __fontiranir_\YekanBakh 3 ProPlus [@fontiranir]\Yekan Bakh FaNum\webfonts\woff2\YekanBakhFaNum-SemiBoldCondensed.woff2,Iranfont,0,012e65514389837c99b2d1035a437d8d2661d08474e620814b5c237dbd65703a
04-Latin,04-Monospace,02-Light-Italic,Codec Warm Logo,Light Italic,02-Static,01-TrueType,04-Latin\04-Monospace\02-Light-Italic\Codec Warm Logo\02-Static\01-TrueType\CodecWarmLogo-LightItalic.ttf,English\CodecWarmLogo-LightItalic.ttf,English,0,0132e602555c137b0e9d1e0a3e18d6507c93d79d21c607373f90bf0e66de9692
03-Mixed,06-General,09-Other,Kahroba,T-EX,02-Static,04-WOFF2,03-Mixed\06-General\09-Other\Kahroba\02-Static\04-WOFF2\Kahroba T-EX.woff2,Iranfont\Kahroba-Pro\180-Kahroba-v1.0-Pro\180-Kahroba-v1.0-Pro\Statics\woff2(web)\Kahroba T-EX.woff2,Iranfont,0,01358f9df70233c898838df4bfe15da41f728f21c4f5bf201d9081c394a0c1af
